"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"815","South Yarra",1,687000,"S","Kay",2016-07-30,3.3,"3141",1,2,49,1970,-37.8352,144.9922,"Southern Metropolitan",14887,92,"19,186","Stonnington",7,2016
"816","Southbank",3,720000,"VB","Other",2016-07-30,1.2,"3006",2,1,112,2000,-37.8273,144.9685,"Southern Metropolitan",8400,91,"11,254","Melbourne",7,2016
"817","Southbank",1,370000,"VB","Dingle",2016-07-30,1.2,"3006",1,1,51,2000,-37.8274,144.9587,"Southern Metropolitan",8400,91,"11,254","Melbourne",7,2016
"818","St Kilda",2,550000,"VB","Biggin",2016-07-30,6.1,"3182",1,1,76,1970,-37.8601,144.9898,"Southern Metropolitan",13240,93,"17,802","Port Phillip",7,2016
"819","St Kilda",1,354000,"S","McGrath",2016-07-30,6.1,"3182",1,1,46,1960,-37.8699,144.9764,"Southern Metropolitan",13240,93,"17,802","Port Phillip",7,2016
"820","St Kilda",2,648000,"S","Noel",2016-07-30,6.1,"3182",1,1,76,1970,-37.861,144.9891,"Southern Metropolitan",13240,93,"17,802","Port Phillip",7,2016
"821","St Kilda",1,475000,"S","Gary",2016-07-30,6.1,"3182",1,1,49,1970,-37.8569,144.9885,"Southern Metropolitan",13240,93,"17,802","Port Phillip",7,2016
"822","Toorak",2,866000,"S","Marshall",2016-07-30,4.6,"3142",0,0,76,1970,-37.8458,145.0221,"Southern Metropolitan",7217,74,"12,832","Stonnington",7,2016
"823","Toorak",2,920000,"S","RT",2016-07-30,4.6,"3142",1,1,76,1930,-37.8427,145.0242,"Southern Metropolitan",7217,74,"12,832","Stonnington",7,2016
"824","West Melbourne",3,601000,"S","Other",2016-07-30,1.9,"3003",1,1,81,1996,-37.8118,144.9526,"Northern Metropolitan",2230,89,"3,758","Melbourne",7,2016
"825","Abbotsford",1,3e+05,"S","Biggin",2016-08-10,2.5,"3067",1,1,49,2009,-37.8008,144.9973,"Northern Metropolitan",4019,84,"4,922","Yarra",8,2016
"826","Altona",2,580000,"S","Barlow",2016-08-10,13.8,"3018",1,1,93,1988,-37.8696,144.827,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",8,2016
"827","Armadale",2,645000,"S","Marshall",2016-08-10,6.3,"3143",1,1,76,1960,-37.8596,145.0198,"Southern Metropolitan",4836,74,"8,732","Stonnington",8,2016
"828","Balwyn",2,635000,"S","Fletchers",2016-08-10,9.7,"3103",1,1,70,2014,-37.8116,145.0724,"Southern Metropolitan",5682,72,"12,945","Boroondara",8,2016
"829","Balwyn North",3,1050000,"S","Fletchers",2016-08-10,9.2,"3104",2,2,114.5,1970,-37.7933,145.0672,"Southern Metropolitan",7809,61,"20,345","Boroondara",8,2016
"830","Bentleigh East",1,370000,"PI","Buxton",2016-08-10,13.9,"3165",1,1,49,1970,-37.9205,145.0528,"Southern Metropolitan",10969,59,"25,928","Glen Eira",8,2016
"831","Bentleigh East",2,495000,"SP","Woodards",2016-08-10,13.9,"3165",1,1,76,1996,-37.9102,145.0709,"Southern Metropolitan",10969,59,"25,928","Glen Eira",8,2016
"832","Brighton",2,7e+05,"PI","RT",2016-08-10,11.2,"3186",1,1,76,1952,-37.9225,144.9891,"Southern Metropolitan",10579,75,"21,267","Bayside",8,2016
"833","Brunswick East",2,435000,"S","Jellis",2016-08-10,4.5,"3057",1,1,55,2012,-37.7717,144.9719,"Northern Metropolitan",5533,83,"8,502","Moreland",8,2016
"834","Brunswick East",2,570000,"PI","Jellis",2016-08-10,4.5,"3057",2,1,76,2008,-37.7656,144.9726,"Northern Metropolitan",5533,83,"8,502","Moreland",8,2016
"835","Caulfield South",2,650000,"VB","hockingstuart",2016-08-10,9.3,"3162",1,1,76,1970,-37.8912,145.0289,"Southern Metropolitan",5051,70,"11,292","Glen Eira",8,2016
"836","Coburg",2,466000,"S","Nelson",2016-08-10,7.8,"3058",1,1,62,1980,-37.7527,144.9522,"Northern Metropolitan",11204,71,"24,996","Moreland",8,2016
"837","Collingwood",1,372000,"SP","Woodards",2016-08-10,1.6,"3066",1,1,65,2005,-37.809,144.9911,"Northern Metropolitan",4553,92,"6,490","Yarra",8,2016
"838","Collingwood",3,1326000,"S","Nelson",2016-08-10,1.6,"3066",2,1,190,2013,-37.8032,144.9842,"Northern Metropolitan",4553,92,"6,490","Yarra",8,2016
"839","Cremorne",2,546000,"S","Biggin",2016-08-10,2.5,"3121",1,1,76,1980,-37.8282,144.9897,"Northern Metropolitan",1123,89,"1,572","Yarra",8,2016
"840","Doncaster",2,4e+05,"VB","Other",2016-08-10,13.9,"3108",1,2,76,1986,-37.7868,145.1223,"Eastern Metropolitan",9028,58,"18,372","Manningham",8,2016
"841","East Melbourne",2,740000,"SP","Woodards",2016-08-10,1.5,"Other",0,0,76,1990,-37.8177,144.9801,"Northern Metropolitan",3040,92,"4,679","Melbourne",8,2016
"842","East Melbourne",1,1015000,"S","Other",2016-08-10,1.5,"Other",1,1,49,1990,-37.8136,144.9892,"Northern Metropolitan",3040,92,"4,679","Melbourne",8,2016
"843","East Melbourne",2,1400000,"S","Other",2016-08-10,1.5,"Other",2,1,76,1990,-37.8118,144.9762,"Northern Metropolitan",3040,92,"4,679","Melbourne",8,2016
"844","Elwood",2,582500,"S","Chisholm",2016-08-10,7.7,"3184",1,1,76,1960,-37.885,144.991,"Southern Metropolitan",8989,84,"14,644","Port Phillip",8,2016
"845","Elwood",1,485000,"S","Buxton",2016-08-10,7.7,"3184",1,1,43,1970,-37.8831,144.9918,"Southern Metropolitan",8989,84,"14,644","Port Phillip",8,2016
"846","Elwood",2,660000,"VB","Chisholm",2016-08-10,7.7,"3184",2,1,76,1960,-37.8815,144.9903,"Southern Metropolitan",8989,84,"14,644","Port Phillip",8,2016
"847","Elwood",2,575000,"PI","Chisholm",2016-08-10,7.7,"3184",1,0,57,1950,-37.874,144.9835,"Southern Metropolitan",8989,84,"14,644","Port Phillip",8,2016
"848","Essendon",1,325000,"S","Brad",2016-08-10,8,"3040",1,1,49,1975,-37.7447,144.9184,"Western Metropolitan",9264,71,"18,841","Moonee Valley",8,2016
"849","Essendon",2,456000,"S","Brad",2016-08-10,8,"3040",1,0,76,1975,-37.7557,144.9222,"Western Metropolitan",9264,71,"18,841","Moonee Valley",8,2016
"850","Flemington",2,391000,"S","Nelson",2016-08-10,4.4,"3031",1,1,59,1970,-37.7825,144.9239,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",8,2016
"851","Footscray",3,480000,"S","Nelson",2016-08-10,6.4,"3011",1,1,90,1985,-37.7949,144.9007,"Western Metropolitan",7570,78,"13,203","Maribyrnong",8,2016
"852","Footscray",2,490000,"S","Sweeney",2016-08-10,6.4,"3011",1,1,76,1972,-37.8006,144.881,"Western Metropolitan",7570,78,"13,203","Maribyrnong",8,2016
"853","Glen Iris",2,411000,"SP","Noel",2016-08-10,9.2,"3146",1,1,65,1970,-37.85,145.0461,"Southern Metropolitan",10412,65,"24,992","Stonnington",8,2016
"854","Hawthorn",2,580000,"S","hockingstuart",2016-08-10,4.6,"3122",1,1,76,2003,-37.8143,145.0322,"Southern Metropolitan",11308,85,"21,138","Boroondara",8,2016
"855","Hawthorn",1,365000,"PI","Jellis",2016-08-10,4.6,"3122",1,1,49,1975,-37.8272,145.0444,"Southern Metropolitan",11308,85,"21,138","Boroondara",8,2016
"856","Hawthorn",2,575000,"S","hockingstuart",2016-08-10,4.6,"3122",2,1,76,1970,-37.8213,145.0291,"Southern Metropolitan",11308,85,"21,138","Boroondara",8,2016
"857","Malvern",2,635000,"S","hockingstuart",2016-08-10,7.4,"3144",1,1,76,1970,-37.8537,145.041,"Southern Metropolitan",4675,80,"9,494","Stonnington",8,2016
"858","Malvern",2,611000,"SP","Marshall",2016-08-10,7.4,"3144",1,1,68,2008,-37.8515,145.0372,"Southern Metropolitan",4675,80,"9,494","Stonnington",8,2016
"859","Malvern East",2,720000,"S","Other",2016-08-10,11.2,"3145",1,1,76,1970,-37.8706,145.0578,"Southern Metropolitan",8801,77,"20,028","Stonnington",8,2016
"860","Middle Park",1,4e+05,"S","RT",2016-08-10,4.1,"3206",1,1,49,1970,-37.8522,144.9678,"Southern Metropolitan",2019,80,"4,042","Port Phillip",8,2016
"861","Moonee Ponds",2,675000,"S","Brad",2016-08-10,6.9,"3039",1,1,76,1990,-37.7694,144.9059,"Western Metropolitan",6232,75,"13,507","Moonee Valley",8,2016
"862","Moorabbin",2,655000,"S","Buxton",2016-08-10,14.6,"3189",1,1,76,1980,-37.9412,145.0465,"Southern Metropolitan",2555,71,"5,298","Kingston",8,2016
"863","Murrumbeena",2,825000,"S","Buxton",2016-08-10,12.1,"3163",1,1,86,1975,-37.898,145.0734,"Southern Metropolitan",4442,71,"8,573","Glen Eira",8,2016
"864","North Melbourne",2,640000,"S","Other",2016-08-10,2.3,"3051",2,1,84,2006,-37.802,144.9459,"Northern Metropolitan",6821,87,"11,733","Melbourne",8,2016
"865","North Melbourne",2,475000,"S","Jas",2016-08-10,2.3,"3051",1,1,76,1990,-37.7988,144.9475,"Northern Metropolitan",6821,87,"11,733","Melbourne",8,2016
"866","Oak Park",2,522000,"S","Stockdale",2016-08-10,11.5,"3046",1,1,91,2012,-37.7204,144.9131,"Northern Metropolitan",2651,55,"5,751","Moreland",8,2016
"867","Parkville",1,352500,"S","Jellis",2016-08-10,2.6,"3052",1,1,49,1992,-37.7864,144.9409,"Northern Metropolitan",2309,79,"6,193","Melbourne",8,2016
"868","Pascoe Vale",2,521500,"SP","Jellis",2016-08-10,9.9,"3044",1,1,76,1970,-37.7262,144.9273,"Northern Metropolitan",7485,59,"14,871","Moreland",8,2016
"869","Port Melbourne",2,6e+05,"PI","Chisholm",2016-08-10,3.8,"3207",2,1,76,2005,-37.8407,144.9383,"Southern Metropolitan",8648,84,"14,520","Port Phillip",8,2016
"870","Port Melbourne",1,577000,"S","Chisholm",2016-08-10,3.8,"3207",1,1,49,2004,-37.8424,144.9449,"Southern Metropolitan",8648,84,"14,520","Port Phillip",8,2016
"871","Prahran",1,482500,"SP","Other",2016-08-10,4.5,"3181",1,1,50,1970,-37.8493,145.0006,"Southern Metropolitan",7717,87,"11,171","Stonnington",8,2016
"872","Reservoir",2,468000,"S","Ray",2016-08-10,11.2,"3073",2,2,76,1980,-37.7172,145.016,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
"873","Reservoir",2,440000,"SP","Ray",2016-08-10,11.2,"3073",1,2,83,1980,-37.709,145.0219,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
"874","Reservoir",2,380000,"S","Nelson",2016-08-10,11.2,"3073",1,1,70,1980,-37.7177,144.9917,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
"875","South Yarra",2,1300000,"PI","Williams",2016-08-10,3.3,"3141",2,2,107,1986,-37.8376,144.9847,"Southern Metropolitan",14887,92,"19,186","Melbourne",8,2016
"876","South Yarra",2,1300000,"PI","Williams",2016-08-10,3.3,"3141",2,1,107,1980,-37.8376,144.9847,"Southern Metropolitan",14887,92,"19,186","Melbourne",8,2016
"877","South Yarra",1,411000,"S","hockingstuart",2016-08-10,3.3,"3141",1,1,49,1970,-37.8405,145.0025,"Southern Metropolitan",14887,92,"19,186","Stonnington",8,2016
"878","South Yarra",2,865000,"S","Williams",2016-08-10,3.3,"3141",2,1,76,2000,-37.8361,144.9966,"Southern Metropolitan",14887,92,"19,186","Stonnington",8,2016
"879","South Yarra",1,360500,"S","hockingstuart",2016-08-10,3.3,"3141",1,1,44,1960,-37.8404,145.0045,"Southern Metropolitan",14887,92,"19,186","Stonnington",8,2016
"880","South Yarra",2,780000,"PI","Williams",2016-08-10,3.3,"3141",1,1,75,1960,-37.8343,144.9899,"Southern Metropolitan",14887,92,"19,186","Stonnington",8,2016
"881","St Kilda",2,487500,"S","Other",2016-08-10,6.1,"3182",1,2,76,1970,-37.8585,144.9852,"Southern Metropolitan",13240,93,"17,802","Port Phillip",8,2016
"882","St Kilda",1,459000,"SP","Gary",2016-08-10,6.1,"3182",1,1,59,1995,-37.8568,144.9873,"Southern Metropolitan",13240,93,"17,802","Port Phillip",8,2016
"883","Sunshine North",2,315000,"PI","Douglas",2016-08-10,13.3,"3020",1,1,76,1975,-37.7756,144.8345,"Western Metropolitan",4217,56,"10,659","Brimbank",8,2016
"884","Surrey Hills",2,760000,"S","Noel",2016-08-10,11.2,"3127",1,1,80,1968,-37.8159,145.091,"Southern Metropolitan",5457,66,"13,143","Boroondara",8,2016
"885","Toorak",2,1450000,"PI","Williams",2016-08-10,4.6,"3142",2,2,76,1970,-37.8414,145.0137,"Southern Metropolitan",7217,74,"12,832","Stonnington",8,2016
"886","Toorak",1,462800,"SP","hockingstuart",2016-08-10,4.6,"3142",1,1,49,1970,-37.8392,145.008,"Southern Metropolitan",7217,74,"12,832","Stonnington",8,2016
"887","Other",2,4e+05,"SP","Other",2016-08-10,8.9,"3016",1,1,76,1970,-37.8564,144.8864,"Western Metropolitan",802,61,"1,543","Hobsons Bay",8,2016
"888","Airport West",2,440000,"S","Barry",2016-08-13,13.5,"3042",1,1,76,2009,-37.7177,144.8787,"Western Metropolitan",3464,58,"6,954","Moonee Valley",8,2016
"889","Altona",3,730000,"SP","Barlow",2016-08-13,13.8,"3018",2,1,141,2014,-37.868,144.8286,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",8,2016
"890","Balwyn",2,625000,"PI","Jellis",2016-08-13,9.7,"3103",1,1,104,1960,-37.8122,145.0879,"Southern Metropolitan",5682,72,"12,945","Boroondara",8,2016
"891","Bentleigh",2,725000,"S","hockingstuart",2016-08-13,13,"3204",1,1,100,1990,-37.9326,145.0387,"Southern Metropolitan",6795,75,"14,926","Glen Eira",8,2016
"892","Box Hill",2,465000,"S","Ray",2016-08-13,13.1,"3128",2,1,65,2010,-37.8216,145.127,"Eastern Metropolitan",4605,72,"9,706","Whitehorse",8,2016
"893","Brighton",3,1266000,"S","Hodges",2016-08-13,11.2,"3186",1,2,116,1950,-37.9268,144.991,"Southern Metropolitan",10579,75,"21,267","Bayside",8,2016
"894","Brunswick",2,6e+05,"S","Woodards",2016-08-13,5.2,"3056",1,1,76,1970,-37.7768,144.9512,"Northern Metropolitan",11918,84,"22,739","Moreland",8,2016
"895","Carlton",1,435000,"S","Woodards",2016-08-13,1.8,"3053",1,1,49,2000,-37.7982,144.9651,"Northern Metropolitan",6786,97,"13,505","Melbourne",8,2016
"896","Carnegie",2,804000,"S","hockingstuart",2016-08-13,11.4,"3163",2,1,86,1993,-37.9,145.0548,"Southern Metropolitan",7822,75,"16,333","Glen Eira",8,2016
"897","Caulfield North",2,520500,"S","Gary",2016-08-13,8.1,"3161",1,1,76,1975,-37.8681,145.0258,"Southern Metropolitan",6923,67,"14,597","Glen Eira",8,2016
"898","Clifton Hill",1,325000,"VB","Collins",2016-08-13,3.4,"3068",1,1,49,1970,-37.7873,144.9958,"Northern Metropolitan",2954,85,"5,782","Yarra",8,2016
"899","Clifton Hill",2,495000,"S","Other",2016-08-13,3.4,"3068",1,1,50,1970,-37.7875,145.0049,"Northern Metropolitan",2954,85,"5,782","Yarra",8,2016
"900","Collingwood",1,457000,"S","Jellis",2016-08-13,1.6,"3066",1,1,49,1970,-37.796,144.9911,"Northern Metropolitan",4553,92,"6,490","Yarra",8,2016
"901","Doncaster",4,753000,"S","Barry",2016-08-13,13.9,"3108",1,1,105,1970,-37.7743,145.1093,"Eastern Metropolitan",9028,58,"18,372","Manningham",8,2016
"902","Elwood",2,1015000,"S","McGrath",2016-08-13,7.7,"3184",1,2,76,2003,-37.8844,144.9855,"Southern Metropolitan",8989,84,"14,644","Port Phillip",8,2016
"903","Hampton",2,786000,"S","Buxton",2016-08-13,13.7,"3188",1,1,76,1970,-37.9379,145.0061,"Southern Metropolitan",5454,69,"12,459","Bayside",8,2016
"904","Hawthorn",1,480000,"VB","Jellis",2016-08-13,4.6,"3122",1,1,50,1940,-37.8128,145.0171,"Southern Metropolitan",11308,85,"21,138","Boroondara",8,2016
"905","Hawthorn",2,520000,"PI","Other",2016-08-13,4.6,"3122",1,1,76,1970,-37.8185,145.0235,"Southern Metropolitan",11308,85,"21,138","Boroondara",8,2016
"906","Hawthorn",2,630000,"S","Jellis",2016-08-13,4.6,"3122",1,1,76,1970,-37.8268,145.0267,"Southern Metropolitan",11308,85,"21,138","Boroondara",8,2016
"907","Hawthorn East",2,680000,"VB","hockingstuart",2016-08-13,7.5,"3123",1,1,110,1945,-37.8233,145.0575,"Southern Metropolitan",6482,83,"13,113","Boroondara",8,2016
"908","Hawthorn East",2,573000,"S","Kay",2016-08-13,7.5,"3123",1,1,60,1970,-37.8254,145.047,"Southern Metropolitan",6482,83,"13,113","Boroondara",8,2016
"909","Ivanhoe East",2,485000,"S","Miles",2016-08-13,9,"3079",1,1,76,1960,-37.7699,145.0581,"Eastern Metropolitan",1554,64,"3,790","Banyule",8,2016
"910","Keilor East",2,470000,"VB","Nelson",2016-08-13,12.8,"3033",1,1,88,2000,-37.7337,144.8617,"Western Metropolitan",5629,55,"13,234","Moonee Valley",8,2016
"911","Kensington",2,666000,"S","Nelson",2016-08-13,4.2,"3031",1,2,92,1998,-37.7896,144.9321,"Northern Metropolitan",5263,82,"9,689","Melbourne",8,2016
"912","Kew",2,580000,"PI","Nelson",2016-08-13,5.6,"3101",1,1,90,1970,-37.8071,145.0243,"Southern Metropolitan",10331,71,"23,871","Boroondara",8,2016
"913","Melbourne",1,210000,"VB","Greg",2016-08-13,2.8,"3000",1,0,49,2002,-37.8078,144.961,"Northern Metropolitan",17496,93,"28,353","Melbourne",8,2016
"914","Melbourne",1,432000,"S","LITTLE",2016-08-13,2.8,"3000",1,1,51,2005,-37.8111,144.9715,"Northern Metropolitan",17496,93,"28,353","Melbourne",8,2016
"915","Melbourne",1,4e+05,"VB","Greg",2016-08-13,2.8,"3000",1,1,49,2005,-37.8106,144.9646,"Northern Metropolitan",17496,93,"28,353","Melbourne",8,2016
"916","Pascoe Vale",2,485000,"S","Brad",2016-08-13,9.9,"3044",1,1,74,1975,-37.7315,144.9301,"Northern Metropolitan",7485,59,"14,871","Moreland",8,2016
"917","Reservoir",2,452000,"S","Nelson",2016-08-13,11.2,"3073",1,1,76,1980,-37.703,145.0201,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
"918","Reservoir",2,360000,"PI","Barry",2016-08-13,11.2,"3073",1,1,76,1980,-37.7327,145.0347,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
"919","Reservoir",2,335000,"SP","Love",2016-08-13,11.2,"3073",1,1,54,2012,-37.7112,144.9989,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
"920","Reservoir",3,4e+05,"PI","Ray",2016-08-13,11.2,"3073",1,1,97,1970,-37.7092,145.0274,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
"921","Reservoir",2,380000,"PI","Barry",2016-08-13,11.2,"3073",1,1,76,2011,-37.7327,145.0347,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
"922","Richmond",2,530000,"S","Biggin",2016-08-13,2.6,"3121",1,1,76,1965,-37.8236,145.009,"Northern Metropolitan",14949,90,"23,838","Yarra",8,2016
"923","Richmond",2,391000,"SP","Other",2016-08-13,2.6,"3121",1,1,51,1965,-37.812,145.0029,"Northern Metropolitan",14949,90,"23,838","Yarra",8,2016
"924","South Yarra",3,1072000,"S","Kay",2016-08-13,3.3,"3141",0,0,114.5,1970,-37.8407,145.0043,"Southern Metropolitan",14887,92,"19,186","Stonnington",8,2016
"925","South Yarra",1,425000,"PI","Biggin",2016-08-13,3.3,"3141",1,1,56,2007,-37.837,144.9931,"Southern Metropolitan",14887,92,"19,186","Stonnington",8,2016
"926","South Yarra",2,627500,"S","hockingstuart",2016-08-13,3.3,"3141",1,1,85,1970,-37.8407,145.004,"Southern Metropolitan",14887,92,"19,186","Stonnington",8,2016
"927","St Kilda",2,475000,"SP","McGrath",2016-08-13,6.1,"3182",1,1,83,1970,-37.8604,144.9817,"Southern Metropolitan",13240,93,"17,802","Port Phillip",8,2016
"928","St Kilda",1,335000,"SP","Other",2016-08-13,6.1,"3182",1,0,49,2013,-37.8682,144.9782,"Southern Metropolitan",13240,93,"17,802","Port Phillip",8,2016
"929","St Kilda",2,540000,"SP","McGrath",2016-08-13,6.1,"3182",1,1,70,2003,-37.8653,144.9824,"Southern Metropolitan",13240,93,"17,802","Port Phillip",8,2016
"930","Surrey Hills",2,805000,"S","hockingstuart",2016-08-13,11.2,"3127",1,2,76,1970,-37.8255,145.092,"Southern Metropolitan",5457,66,"13,143","Boroondara",8,2016
"931","Windsor",2,450000,"PI","hockingstuart",2016-08-13,5.1,"3181",1,1,76,1972,-37.8552,145.0005,"Southern Metropolitan",4380,91,"7,051","Stonnington",8,2016
"932","Yarraville",2,501344,"SP","Sweeney",2016-08-13,7,"3013",1,1,72,1950,-37.8106,144.8957,"Western Metropolitan",6543,77,"13,811","Maribyrnong",8,2016
"933","Abbotsford",1,426000,"SP","Greg",2016-08-22,2.5,"3067",1,1,49,2009,-37.8016,144.9988,"Northern Metropolitan",4019,84,"4,922","Yarra",8,2016
"934","Abbotsford",1,457000,"S","Jellis",2016-08-22,2.5,"3067",1,1,50,2009,-37.8078,144.9965,"Northern Metropolitan",4019,84,"4,922","Yarra",8,2016
"935","Airport West",2,510000,"S","Nelson",2016-08-22,13.5,"3042",1,1,76,2009,-37.7202,144.8797,"Western Metropolitan",3464,58,"6,954","Moonee Valley",8,2016
"936","Armadale",1,315000,"SP","Fletchers",2016-08-22,6.3,"3143",1,1,49,1970,-37.8575,145.0174,"Southern Metropolitan",4836,74,"8,732","Stonnington",8,2016
"937","Ashwood",2,7e+05,"S","hockingstuart",2016-08-22,12.2,"3147",1,2,88,2007,-37.8709,145.102,"Southern Metropolitan",2894,63,"6,091","Monash",8,2016
"938","Bentleigh East",2,340000,"VB","Gary",2016-08-22,13.9,"3165",1,1,76,2012,-37.9096,145.0843,"Southern Metropolitan",10969,59,"25,928","Glen Eira",8,2016
"939","Brighton",3,835000,"PI","Marshall",2016-08-22,11.2,"3186",2,1,114.5,1970,-37.909,145.0005,"Southern Metropolitan",10579,75,"21,267","Bayside",8,2016
"940","Brighton",3,1250000,"S","Marshall",2016-08-22,11.2,"3186",2,0,114.5,1970,-37.9249,144.9928,"Southern Metropolitan",10579,75,"21,267","Bayside",8,2016
"941","Brunswick",1,440000,"S","Nelson",2016-08-22,5.2,"3056",1,1,49,1970,-37.7769,144.9523,"Northern Metropolitan",11918,84,"22,739","Moreland",8,2016
"942","Brunswick West",2,537000,"SP","Jellis",2016-08-22,5.9,"3055",1,1,66,1960,-37.7741,144.9449,"Northern Metropolitan",7082,66,"13,171","Moreland",8,2016
"943","Brunswick West",1,285000,"PI","Walshe",2016-08-22,5.9,"3055",1,1,45,1970,-37.7675,144.939,"Northern Metropolitan",7082,66,"13,171","Moreland",8,2016
"944","Camberwell",2,558000,"S","Buxton",2016-08-22,7.8,"3124",1,1,76,1960,-37.8316,145.068,"Southern Metropolitan",8920,66,"20,022","Boroondara",8,2016
"945","Carnegie",2,572000,"S","Ray",2016-08-22,11.4,"3163",2,1,76,2014,-37.8873,145.0572,"Southern Metropolitan",7822,75,"16,333","Glen Eira",8,2016
"946","Carnegie",2,983500,"S","Thomson",2016-08-22,11.4,"3163",1,1,76,1970,-37.8867,145.0653,"Southern Metropolitan",7822,75,"16,333","Glen Eira",8,2016
"947","Collingwood",3,1500000,"S","Jellis",2016-08-22,1.6,"3066",2,2,159,1920,-37.8042,144.9845,"Northern Metropolitan",4553,92,"6,490","Yarra",8,2016
"948","Collingwood",2,713500,"S","Jellis",2016-08-22,1.6,"3066",2,1,88,2010,-37.7954,144.9868,"Northern Metropolitan",4553,92,"6,490","Yarra",8,2016
"949","Doncaster",3,8e+05,"PI","Barry",2016-08-22,13.9,"3108",2,2,114.5,1991,-37.7882,145.1315,"Eastern Metropolitan",9028,58,"18,372","Manningham",8,2016
"950","East Melbourne",2,7e+05,"PI","Harcourts",2016-08-22,1.5,"Other",2,1,65,1970,-37.8153,144.9842,"Northern Metropolitan",3040,92,"4,679","Melbourne",8,2016
"951","Elsternwick",2,5e+05,"S","Gary",2016-08-22,8.5,"3185",1,1,59,2006,-37.8822,144.9994,"Southern Metropolitan",4898,83,"9,772","Glen Eira",8,2016
"952","Essendon",2,457000,"S","Barry",2016-08-22,8,"3040",1,1,76,1975,-37.7534,144.9242,"Western Metropolitan",9264,71,"18,841","Moonee Valley",8,2016
"953","Essendon North",3,712000,"S","Nelson",2016-08-22,9.4,"3041",2,2,104,2009,-37.7374,144.9006,"Western Metropolitan",1308,74,"2,292","Moonee Valley",8,2016
"954","Fitzroy",2,790000,"S","Nelson",2016-08-22,1.6,"3065",1,1,76,2007,-37.7967,144.9836,"Northern Metropolitan",5825,96,"9,420","Yarra",8,2016
"955","Glenroy",3,460000,"S","Barry",2016-08-22,13,"3046",2,1,114.5,2000,-37.6997,144.9367,"Northern Metropolitan",8870,54,"19,671","Moreland",8,2016
"956","Hawthorn",2,805000,"S","Kay",2016-08-22,4.6,"3122",1,1,76,1970,-37.8235,145.0294,"Southern Metropolitan",11308,85,"21,138","Boroondara",8,2016
"957","Hawthorn East",2,706000,"S","hockingstuart",2016-08-22,7.5,"3123",1,1,90,1960,-37.8437,145.0536,"Southern Metropolitan",6482,83,"13,113","Boroondara",8,2016
"958","Hawthorn East",2,568000,"S","Jellis",2016-08-22,7.5,"3123",1,1,76,1960,-37.8254,145.0476,"Southern Metropolitan",6482,83,"13,113","Boroondara",8,2016
"959","Ivanhoe",2,845000,"S","Miles",2016-08-22,7.9,"3079",2,2,76,1980,-37.7679,145.0467,"Eastern Metropolitan",5549,71,"11,038","Banyule",8,2016
"960","Kensington",2,526000,"S","Nelson",2016-08-22,4.2,"3031",0,0,76,2008,-37.7919,144.9253,"Northern Metropolitan",5263,82,"9,689","Melbourne",8,2016
"961","Kensington",1,370000,"PI","Nelson",2016-08-22,4.2,"3031",1,2,49,2008,-37.7896,144.9321,"Northern Metropolitan",5263,82,"9,689","Melbourne",8,2016
"962","Melbourne",1,440000,"S","Harcourts",2016-08-22,2.8,"3000",1,1,65,1920,-37.8168,144.9691,"Northern Metropolitan",17496,93,"28,353","Melbourne",8,2016
"963","Murrumbeena",3,835000,"SP","Other",2016-08-22,12.1,"3163",1,1,104,1975,-37.8966,145.0737,"Southern Metropolitan",4442,71,"8,573","Glen Eira",8,2016
"964","North Melbourne",2,540000,"S","Alexkarbon",2016-08-22,2.3,"3051",1,1,76,1970,-37.7981,144.9461,"Northern Metropolitan",6821,87,"11,733","Melbourne",8,2016
"965","Pascoe Vale",3,533000,"SP","Brad",2016-08-22,9.9,"3044",2,2,111,2007,-37.7266,144.9496,"Northern Metropolitan",7485,59,"14,871","Moreland",8,2016
"966","Port Melbourne",2,6e+05,"VB","RT",2016-08-22,3.8,"3207",1,1,72,1996,-37.8398,144.9404,"Southern Metropolitan",8648,84,"14,520","Melbourne",8,2016
"967","Port Melbourne",1,470000,"SP","LITTLE",2016-08-22,3.8,"3207",1,1,62,2000,-37.8436,144.944,"Southern Metropolitan",8648,84,"14,520","Port Phillip",8,2016
"968","Port Melbourne",2,670000,"S","Biggin",2016-08-22,3.8,"3207",1,1,71,2006,-37.8424,144.9449,"Southern Metropolitan",8648,84,"14,520","Port Phillip",8,2016
"969","Reservoir",2,440000,"SP","Barry",2016-08-22,11.2,"3073",1,1,87,2007,-37.7098,145.0211,"Northern Metropolitan",21650,60,"47,517","Darebin",8,2016
