"","Suburb","Type","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","CouncilArea","Month","Year"
"1927","Hawthorn","u",2,445000,"PI","Jellis",2016-06-18,4.6,"3122",1,1,0,76,1960,-37.8249,145.026,"Southern Metropolitan",11308,"Boroondara",6,2016
"1928","Hawthorn East","t",3,1240000,"S","Jellis",2016-06-18,7.5,"3123",2,2,155,135,2005,-37.8397,145.0514,"Southern Metropolitan",6482,"Boroondara",6,2016
"1929","Hawthorn East","h",3,1538000,"S","Jellis",2016-06-18,7.5,"3123",1,2,287,130,1922,-37.8292,145.046,"Southern Metropolitan",6482,"Boroondara",6,2016
"1930","Hawthorn East","u",2,444000,"S","LITTLE",2016-06-18,7.5,"3123",1,1,0,68,1970,-37.8245,145.0527,"Southern Metropolitan",6482,"Boroondara",6,2016
"1931","Hawthorn East","h",3,1320000,"VB","Jellis",2016-06-18,7.5,"3123",2,1,213,162,1890,-37.8302,145.0542,"Southern Metropolitan",6482,"Boroondara",6,2016
"1932","Hawthorn East","h",3,1890000,"PI","Marshall",2016-06-18,7.5,"3123",1,2,477,173,1880,-37.8257,145.0514,"Southern Metropolitan",6482,"Boroondara",6,2016
"1933","Heidelberg West","h",3,480000,"PI","Ray",2016-06-18,9.4,"3081",1,1,338,13,1980,-37.739,145.0481,"Eastern Metropolitan",2674,"Banyule",6,2016
"1934","Hughesdale","u",2,648000,"S","Ray",2016-06-18,13,"3166",1,1,0,76,1970,-37.9014,145.0824,"Southern Metropolitan",3145,"Monash",6,2016
"1935","Ivanhoe East","h",4,1875000,"PI","Nelson",2016-06-18,9,"3079",3,2,583,318,1975,-37.7719,145.0582,"Eastern Metropolitan",1554,"Banyule",6,2016
"1936","Keilor East","h",5,808000,"S","Nelson",2016-06-18,12.8,"3033",2,2,561,260,1975,-37.748,144.8552,"Western Metropolitan",5629,"Moonee Valley",6,2016
"1937","Keilor East","h",4,871000,"S","Nelson",2016-06-18,12.8,"3033",2,2,570,190,1975,-37.7361,144.8691,"Western Metropolitan",5629,"Moonee Valley",6,2016
"1938","Keilor East","h",3,785000,"S","Barry",2016-06-18,12.8,"3033",1,2,606,141,1965,-37.7311,144.8663,"Western Metropolitan",5629,"Moonee Valley",6,2016
"1939","Keilor East","h",3,891000,"S","Nelson",2016-06-18,12.8,"3033",3,1,292,130,1975,-37.7505,144.8657,"Western Metropolitan",5629,"Moonee Valley",6,2016
"1940","Keilor Park","h",3,722000,"SP","Brad",2016-06-18,14.5,"3042",1,1,695,141,1970,-37.7259,144.8579,"Western Metropolitan",1119,"Brimbank",6,2016
"1941","Kensington","h",2,732000,"SP","Nelson",2016-06-18,4.2,"3031",2,1,94,130,2002,-37.7934,144.9166,"Northern Metropolitan",5263,"Melbourne",6,2016
"1942","Kew","h",4,2075000,"S","Kay",2016-06-18,5.6,"3101",2,2,764,190,1940,-37.8046,145.0595,"Southern Metropolitan",10331,"Boroondara",6,2016
"1943","Maidstone","h",2,6e+05,"S","hockingstuart",2016-06-18,9.2,"3012",1,1,194,96,1955,-37.787,144.8654,"Western Metropolitan",3873,"Maribyrnong",6,2016
"1944","Maidstone","h",4,690000,"PI","Sweeney",2016-06-18,9.2,"3012",2,1,270,190,1955,-37.7798,144.8659,"Western Metropolitan",3873,"Maribyrnong",6,2016
"1945","Malvern","h",3,2355000,"S","Marshall",2016-06-18,7.4,"3144",2,4,471,235,1985,-37.851,145.0316,"Southern Metropolitan",4675,"Stonnington",6,2016
"1946","Malvern","u",2,650000,"VB","Gary",2016-06-18,7.4,"3144",2,1,0,76,1970,-37.8514,145.0361,"Southern Metropolitan",4675,"Stonnington",6,2016
"1947","Malvern East","h",2,1400000,"S","Jellis",2016-06-18,11.2,"3145",1,1,312,96,1930,-37.8654,145.0412,"Southern Metropolitan",8801,"Stonnington",6,2016
"1948","Malvern East","u",2,835000,"S","Jellis",2016-06-18,11.2,"3145",1,1,0,118,1930,-37.865,145.0506,"Southern Metropolitan",8801,"Stonnington",6,2016
"1949","Malvern East","u",3,707500,"S","hockingstuart",2016-06-18,11.2,"3145",1,1,170,83,1975,-37.8689,145.0504,"Southern Metropolitan",8801,"Stonnington",6,2016
"1950","Maribyrnong","h",4,1040000,"S","Biggin",2016-06-18,8.7,"3032",3,2,298,190,2000,-37.7858,144.8937,"Western Metropolitan",4918,"Maribyrnong",6,2016
"1951","Maribyrnong","t",2,408000,"S","Nelson",2016-06-18,8.7,"3032",1,1,85,84,1980,-37.7732,144.8927,"Western Metropolitan",4918,"Maribyrnong",6,2016
"1952","Melbourne","u",3,610000,"S","Other",2016-06-18,2.8,"3000",2,0,0,114.5,2002,-37.8114,144.961,"Northern Metropolitan",17496,"Melbourne",6,2016
"1953","Middle Park","h",3,2360000,"S","Cayzer",2016-06-18,4.1,"3206",1,1,288,130,1900,-37.8507,144.9591,"Southern Metropolitan",2019,"Port Phillip",6,2016
"1954","Middle Park","u",2,702000,"SP","Marshall",2016-06-18,4.1,"3206",1,1,0,76,1970,-37.8549,144.9662,"Southern Metropolitan",2019,"Port Phillip",6,2016
"1955","Middle Park","h",3,2005000,"S","RT",2016-06-18,4.1,"3206",1,0,220,130,1900,-37.8508,144.9589,"Southern Metropolitan",2019,"Port Phillip",6,2016
"1956","Mont Albert","h",4,2e+06,"S","Fletchers",2016-06-18,11.8,"3127",2,1,626,190,1929,-37.8197,145.1106,"Eastern Metropolitan",2079,"Whitehorse",6,2016
"1957","Moonee Ponds","h",4,1345000,"SP","Brad",2016-06-18,6.9,"3039",2,2,313,193,1910,-37.7709,144.9288,"Western Metropolitan",6232,"Moonee Valley",6,2016
"1958","Moonee Ponds","t",3,842500,"S","Jellis",2016-06-18,6.9,"3039",2,1,216,156,1995,-37.7607,144.9314,"Western Metropolitan",6232,"Moonee Valley",6,2016
"1959","Murrumbeena","u",1,256500,"S","Gary",2016-06-18,12.1,"3163",1,1,0,37,1966,-37.8944,145.0733,"Southern Metropolitan",4442,"Glen Eira",6,2016
"1960","Newport","h",3,1176000,"S","hockingstuart",2016-06-18,8.4,"3015",1,2,767,111,1960,-37.8466,144.8636,"Western Metropolitan",5498,"Hobsons Bay",6,2016
"1961","Newport","h",4,1265000,"S","RT",2016-06-18,8.4,"3015",2,2,774,185,1950,-37.8366,144.8758,"Western Metropolitan",5498,"Hobsons Bay",6,2016
"1962","Newport","h",2,801000,"SP","Williams",2016-06-18,8.4,"3015",1,1,343,106,1920,-37.8414,144.8752,"Western Metropolitan",5498,"Hobsons Bay",6,2016
"1963","Niddrie","u",3,7e+05,"S","Nelson",2016-06-18,11.2,"3042",1,1,202,114.5,2010,-37.7389,144.887,"Western Metropolitan",2291,"Moonee Valley",6,2016
"1964","Niddrie","u",3,760000,"S","Barry",2016-06-18,11.2,"3042",2,1,198,114.5,2008,-37.7357,144.8908,"Western Metropolitan",2291,"Moonee Valley",6,2016
"1965","Niddrie","h",3,773000,"S","Nelson",2016-06-18,11.2,"3042",2,2,403,130,1955,-37.7324,144.8765,"Western Metropolitan",2291,"Moonee Valley",6,2016
"1966","North Melbourne","t",2,1300000,"VB","Nelson",2016-06-18,2.3,"3051",2,1,0,100,2005,-37.8029,144.9452,"Northern Metropolitan",6821,"Melbourne",6,2016
"1967","Northcote","h",2,1170000,"S","Barry",2016-06-18,5.5,"3070",1,3,453,93,1920,-37.7666,145.0132,"Northern Metropolitan",11364,"Darebin",6,2016
"1968","Northcote","h",2,875000,"S","Nelson",2016-06-18,5.5,"3070",1,1,0,96,1920,-37.7736,145.0074,"Northern Metropolitan",11364,"Darebin",6,2016
"1969","Oak Park","h",4,840000,"SP","Nelson",2016-06-18,11.5,"3046",1,2,704,196,1960,-37.7143,144.9096,"Northern Metropolitan",2651,"Moreland",6,2016
"1970","Oakleigh South","h",4,8e+05,"PI","Woodards",2016-06-18,14.7,"3167",2,2,558,190,1968,-37.9393,145.0962,"South-Eastern Metropolitan",3692,"Kingston",6,2016
"1971","Oakleigh South","h",2,752500,"SP","Buxton",2016-06-18,14.7,"3167",1,1,308,112,1950,-37.9191,145.0855,"South-Eastern Metropolitan",3692,"Monash",6,2016
"1972","Pascoe Vale","t",3,430000,"VB","Other",2016-06-18,9.9,"3044",2,1,146,106,2006,-37.7152,144.9346,"Northern Metropolitan",7485,"Moreland",6,2016
"1973","Pascoe Vale","t",4,640000,"VB","Nelson",2016-06-18,9.9,"3044",2,2,353,188.5,2009,-37.7214,144.9246,"Northern Metropolitan",7485,"Moreland",6,2016
"1974","Port Melbourne","u",2,655000,"S","Cayzer",2016-06-18,3.8,"3207",1,1,0,86,2006,-37.8416,144.939,"Southern Metropolitan",8648,"Port Phillip",6,2016
"1975","Port Melbourne","u",2,1405000,"S","Marshall",2016-06-18,3.8,"3207",2,1,0,76,2005,-37.84,144.9275,"Southern Metropolitan",8648,"Port Phillip",6,2016
"1976","Port Melbourne","h",2,875000,"S","Cayzer",2016-06-18,3.8,"3207",1,1,95,96,1905,-37.8381,144.9465,"Southern Metropolitan",8648,"Melbourne",6,2016
"1977","Port Melbourne","h",3,1384000,"S","Marshall",2016-06-18,3.8,"3207",1,0,184,100,1905,-37.8348,144.9443,"Southern Metropolitan",8648,"Melbourne",6,2016
"1978","Prahran","h",2,1300000,"S","Jellis",2016-06-18,4.5,"3181",1,1,126,96,1902,-37.8518,145.0061,"Southern Metropolitan",7717,"Stonnington",6,2016
"1979","Preston","h",3,750000,"SP","Ray",2016-06-18,8.8,"3072",1,2,409,130,1950,-37.7486,144.9992,"Northern Metropolitan",14577,"Darebin",6,2016
"1980","Preston","h",3,1226000,"S","hockingstuart",2016-06-18,8.8,"3072",1,4,707,130,1950,-37.7413,144.9885,"Northern Metropolitan",14577,"Darebin",6,2016
"1981","Preston","h",3,810000,"SP","Barry",2016-06-18,8.8,"3072",1,1,421,97,1930,-37.738,145.0064,"Northern Metropolitan",14577,"Darebin",6,2016
"1982","Preston","h",2,565000,"S","hockingstuart",2016-06-18,8.8,"3072",1,2,349,96,1950,-37.7351,145.0271,"Northern Metropolitan",14577,"Darebin",6,2016
"1983","Preston","h",2,770000,"S","Jellis",2016-06-18,8.8,"3072",2,1,76,129,2013,-37.7443,145.0015,"Northern Metropolitan",14577,"Darebin",6,2016
"1984","Preston","t",3,714000,"S","Nelson",2016-06-18,8.8,"3072",2,2,185,115,2005,-37.7287,144.9869,"Northern Metropolitan",14577,"Darebin",6,2016
"1985","Preston","h",3,1127000,"S","hockingstuart",2016-06-18,8.8,"3072",2,2,590,140,1940,-37.7336,144.9958,"Northern Metropolitan",14577,"Darebin",6,2016
"1986","Reservoir","h",3,703000,"S","Nelson",2016-06-18,11.2,"3073",2,1,597,120,1960,-37.7066,145.0203,"Northern Metropolitan",21650,"Darebin",6,2016
"1987","Reservoir","h",3,613000,"S","Nelson",2016-06-18,11.2,"3073",1,2,745,149,1985,-37.7007,144.9815,"Northern Metropolitan",21650,"Darebin",6,2016
"1988","Reservoir","h",3,475000,"S","Nelson",2016-06-18,11.2,"3073",1,1,535,133,1970,-37.692,144.9781,"Northern Metropolitan",21650,"Darebin",6,2016
"1989","Reservoir","t",2,425000,"S","Stockdale",2016-06-18,11.2,"3073",1,1,145,100,2010,-37.7284,145.0361,"Northern Metropolitan",21650,"Darebin",6,2016
"1990","Reservoir","u",2,424000,"S","Barry",2016-06-18,11.2,"3073",1,1,141,81,1980,-37.7149,145.0009,"Northern Metropolitan",21650,"Darebin",6,2016
"1991","Reservoir","h",5,791000,"S","Ray",2016-06-18,11.2,"3073",3,1,961,260,1960,-37.7024,144.984,"Northern Metropolitan",21650,"Darebin",6,2016
"1992","Reservoir","h",4,750000,"S","Love",2016-06-18,11.2,"3073",1,2,747,190,1960,-37.7054,145.0137,"Northern Metropolitan",21650,"Darebin",6,2016
"1993","Reservoir","h",3,779000,"S","Barry",2016-06-18,11.2,"3073",1,2,945,130,1960,-37.7027,145.0001,"Northern Metropolitan",21650,"Darebin",6,2016
"1994","Richmond","t",2,895000,"S","Marshall",2016-06-18,2.6,"3121",1,1,0,100,2004,-37.8209,145.0014,"Northern Metropolitan",14949,"Yarra",6,2016
"1995","Richmond","t",2,810000,"SP","hockingstuart",2016-06-18,2.6,"3121",1,1,94,100,2004,-37.8201,144.9927,"Northern Metropolitan",14949,"Yarra",6,2016
"1996","Richmond","h",3,1456000,"S","Jellis",2016-06-18,2.6,"3121",2,1,157,141,1900,-37.8225,145.0029,"Northern Metropolitan",14949,"Yarra",6,2016
"1997","Richmond","h",3,1100000,"PI","Biggin",2016-06-18,2.6,"3121",2,1,66,118,2013,-37.8181,145.007,"Northern Metropolitan",14949,"Yarra",6,2016
"1998","Richmond","h",2,1430000,"S","Biggin",2016-06-18,2.6,"3121",1,2,292,96,1900,-37.8218,145.0089,"Northern Metropolitan",14949,"Yarra",6,2016
"1999","Richmond","h",2,1145000,"S","Biggin",2016-06-18,2.6,"3121",1,0,170,96,1910,-37.8226,145.0064,"Northern Metropolitan",14949,"Yarra",6,2016
"2000","Richmond","h",2,1220000,"S","Jellis",2016-06-18,2.6,"3121",1,2,198,96,1900,-37.8244,145.0046,"Northern Metropolitan",14949,"Yarra",6,2016
"2001","Richmond","h",2,1045000,"S","Jellis",2016-06-18,2.6,"3121",1,1,138,81,1890,-37.8218,145.0132,"Northern Metropolitan",14949,"Yarra",6,2016
"2002","Other","u",1,327000,"S","Woodards",2016-06-18,7.4,"3185",1,1,486,49,1970,-37.8797,144.9954,"Southern Metropolitan",821,"Port Phillip",6,2016
"2003","Rosanna","h",4,1610000,"S","Other",2016-06-18,11.4,"3084",1,4,1613,190,1960,-37.7324,145.0606,"Eastern Metropolitan",3540,"Banyule",6,2016
"2004","Seddon","h",3,881000,"S","Jas",2016-06-18,6.6,"3011",1,2,217,130,1910,-37.8075,144.8909,"Western Metropolitan",2417,"Maribyrnong",6,2016
"2005","South Kingsville","h",3,941000,"S","Jas",2016-06-18,9.1,"3015",2,3,669,130,1970,-37.8303,144.8705,"Western Metropolitan",984,"Hobsons Bay",6,2016
"2006","South Melbourne","h",3,1825000,"S","Marshall",2016-06-18,2.1,"3205",2,2,151,153,1900,-37.8383,144.9632,"Southern Metropolitan",5943,"Port Phillip",6,2016
"2007","South Melbourne","h",2,1200000,"VB","Greg",2016-06-18,2.1,"3205",2,1,131,79,1890,-37.839,144.948,"Southern Metropolitan",5943,"Port Phillip",6,2016
"2008","South Melbourne","u",3,1550000,"PI","Marshall",2016-06-18,2.1,"3205",4,2,0,230,2001,-37.8337,144.966,"Southern Metropolitan",5943,"Port Phillip",6,2016
"2009","South Yarra","h",3,1810000,"S","hockingstuart",2016-06-18,3.3,"3141",1,1,211,18,1906,-37.8442,144.9928,"Southern Metropolitan",14887,"Stonnington",6,2016
"2010","South Yarra","u",1,612000,"S","hockingstuart",2016-06-18,3.3,"3141",1,1,607,49,1970,-37.8328,144.9866,"Southern Metropolitan",14887,"Stonnington",6,2016
"2011","South Yarra","u",1,4e+05,"S","hockingstuart",2016-06-18,3.3,"3141",1,1,0,45,1960,-37.8355,144.9884,"Southern Metropolitan",14887,"Stonnington",6,2016
"2012","Southbank","h",3,7e+05,"VB","Cayzer",2016-06-18,1.2,"3006",1,0,199,130,1947,-37.8299,144.9496,"Southern Metropolitan",8400,"Melbourne",6,2016
"2013","Spotswood","h",4,1315000,"S","hockingstuart",2016-06-18,7.7,"3015",2,3,830,134,1920,-37.829,144.8807,"Western Metropolitan",1223,"Hobsons Bay",6,2016
"2014","St Kilda","u",2,431000,"S","McGrath",2016-06-18,6.1,"3182",1,1,0,71,1940,-37.8665,144.9833,"Southern Metropolitan",13240,"Port Phillip",6,2016
"2015","St Kilda","u",1,450000,"SP","Buxton",2016-06-18,6.1,"3182",1,1,0,61,2009,-37.8731,144.9799,"Southern Metropolitan",13240,"Port Phillip",6,2016
"2016","St Kilda","u",2,385000,"VB","Harrington",2016-06-18,6.1,"3182",1,1,0,46,1970,-37.8648,144.9783,"Southern Metropolitan",13240,"Port Phillip",6,2016
"2017","St Kilda","u",2,575000,"S","Buxton",2016-06-18,6.1,"3182",2,1,0,78,2013,-37.8562,144.9844,"Southern Metropolitan",13240,"Port Phillip",6,2016
"2018","St Kilda","u",2,785000,"PI","McGrath",2016-06-18,6.1,"3182",2,2,0,98,2006,-37.8647,144.9819,"Southern Metropolitan",13240,"Port Phillip",6,2016
"2019","St Kilda","u",2,650000,"PI","Other",2016-06-18,6.1,"3182",1,0,822,70,1930,-37.8585,144.9854,"Southern Metropolitan",13240,"Port Phillip",6,2016
"2020","St Kilda","h",2,875000,"S","hockingstuart",2016-06-18,6.1,"3182",1,1,123,68,1900,-37.8641,144.9866,"Southern Metropolitan",13240,"Port Phillip",6,2016
"2021","Strathmore","h",3,1080000,"S","Considine",2016-06-18,9.7,"3041",2,2,211,46,1980,-37.734,144.9145,"Western Metropolitan",3284,"Moonee Valley",6,2016
"2022","Other","h",4,8e+05,"S","Considine",2016-06-18,12.5,"3041",2,4,556,190,1966,-37.715,144.8966,"Western Metropolitan",389,"Moonee Valley",6,2016
"2023","Sunshine","h",3,607500,"S","Douglas",2016-06-18,12.6,"3020",1,2,487,130,1952,-37.7883,144.8439,"Western Metropolitan",3755,"Brimbank",6,2016
"2024","Sunshine","h",3,850000,"S","Douglas",2016-06-18,12.6,"3020",1,2,505,130,1970,-37.7798,144.8352,"Western Metropolitan",3755,"Brimbank",6,2016
"2025","Sunshine","h",4,590000,"S","Barry",2016-06-18,12.6,"3020",1,1,490,190,1952,-37.7893,144.8437,"Western Metropolitan",3755,"Brimbank",6,2016
"2026","Sunshine","h",2,555000,"S","Barry",2016-06-18,12.6,"3020",1,1,254,96,1952,-37.7881,144.8354,"Western Metropolitan",3755,"Brimbank",6,2016
"2027","Sunshine North","h",3,7e+05,"S","Barry",2016-06-18,13.3,"3020",1,2,538,111,1975,-37.7704,144.8384,"Western Metropolitan",4217,"Brimbank",6,2016
"2028","Sunshine West","h",3,590000,"S","Sweeney",2016-06-18,13.5,"3020",2,4,697,130,1970,-37.7896,144.8018,"Western Metropolitan",6763,"Brimbank",6,2016
"2029","Sunshine West","h",3,472500,"SP","Biggin",2016-06-18,13.5,"3020",1,1,586,130,1970,-37.791,144.7925,"Western Metropolitan",6763,"Brimbank",6,2016
"2030","Sunshine West","h",3,547500,"S","Douglas",2016-06-18,13.5,"3020",1,2,603,131,1950,-37.7891,144.823,"Western Metropolitan",6763,"Brimbank",6,2016
"2031","Surrey Hills","h",4,1725000,"S","Jellis",2016-06-18,11.2,"3127",2,2,798,190,1930,-37.8308,145.0916,"Southern Metropolitan",5457,"Boroondara",6,2016
"2032","Templestowe Lower","u",3,725000,"S","Barry",2016-06-18,13.8,"3107",1,1,465,105,1975,-37.7549,145.1185,"Eastern Metropolitan",5420,"Manningham",6,2016
"2033","Templestowe Lower","h",4,945000,"PI","Jellis",2016-06-18,13.8,"3107",2,2,675,181,1985,-37.764,145.1145,"Eastern Metropolitan",5420,"Manningham",6,2016
"2034","Templestowe Lower","h",3,982000,"S","Barry",2016-06-18,13.8,"3107",2,2,652,130,1970,-37.7629,145.1157,"Eastern Metropolitan",5420,"Manningham",6,2016
"2035","Thornbury","u",2,571750,"SP","hockingstuart",2016-06-18,6.5,"3071",1,1,0,76,2012,-37.7588,145.0179,"Northern Metropolitan",8870,"Darebin",6,2016
"2036","Thornbury","u",2,350000,"PI","Other",2016-06-18,6.5,"3071",1,1,0,76,1960,-37.7542,145.01,"Northern Metropolitan",8870,"Darebin",6,2016
"2037","Toorak","h",4,2620000,"S","Jellis",2016-06-18,4.6,"3142",2,2,516,286,1925,-37.8398,145.0305,"Southern Metropolitan",7217,"Stonnington",6,2016
"2038","Toorak","u",2,575000,"S","Other",2016-06-18,4.6,"3142",1,1,0,76,2008,-37.8498,145.0173,"Southern Metropolitan",7217,"Stonnington",6,2016
"2039","Toorak","u",1,366000,"S","Jellis",2016-06-18,4.6,"3142",1,1,0,35,1967,-37.8464,145.0074,"Southern Metropolitan",7217,"Stonnington",6,2016
"2040","Other","h",2,1100000,"SP","Nelson",2016-06-18,5.3,"3032",1,1,321,96,1925,-37.7818,144.9374,"Western Metropolitan",1052,"Moonee Valley",6,2016
"2041","Viewbank","h",4,940000,"VB","Miles",2016-06-18,13.8,"3084",3,2,574,190,1972,-37.7319,145.0907,"Eastern Metropolitan",2698,"Banyule",6,2016
"2042","Viewbank","h",4,895000,"S","Miles",2016-06-18,13.8,"3084",2,2,700,18,1980,-37.7326,145.0881,"Eastern Metropolitan",2698,"Banyule",6,2016
"2043","Watsonia","h",3,8e+05,"S","hockingstuart",2016-06-18,14.9,"3087",2,2,595,130,2000,-37.7023,145.0775,"Northern Metropolitan",2329,"Banyule",6,2016
"2044","West Footscray","h",5,691000,"PI","Biggin",2016-06-18,8.2,"3012",1,1,466,260,1950,-37.8008,144.8665,"Western Metropolitan",5058,"Maribyrnong",6,2016
"2045","West Melbourne","t",3,1130000,"PI","Other",2016-06-18,1.9,"3003",2,2,116,135,2002,-37.8102,144.9515,"Northern Metropolitan",2230,"Melbourne",6,2016
"2046","Williamstown","h",2,769000,"S","RT",2016-06-18,8,"3016",1,1,265,96,1977,-37.853,144.8928,"Western Metropolitan",6380,"Hobsons Bay",6,2016
"2047","Other","u",2,380000,"PI","Greg",2016-06-18,8.9,"3016",1,1,0,64,1960,-37.8564,144.8864,"Western Metropolitan",802,"Hobsons Bay",6,2016
"2048","Windsor","u",2,6e+05,"S","Biggin",2016-06-18,5.1,"3181",1,1,0,83,1970,-37.8559,144.999,"Southern Metropolitan",4380,"Port Phillip",6,2016
"2049","Yallambie","h",3,731000,"S","hockingstuart",2016-06-18,15,"Other",2,2,566,156,1991,-37.7195,145.1034,"Northern Metropolitan",1369,"Banyule",6,2016
"2050","Yarraville","h",3,781500,"S","Jas",2016-06-18,7,"3013",1,2,341,132,1950,-37.8224,144.8818,"Western Metropolitan",6543,"Maribyrnong",6,2016
"2051","Yarraville","h",3,865000,"SP","Jas",2016-06-18,7,"3013",1,1,189,87,1930,-37.8159,144.8795,"Western Metropolitan",6543,"Maribyrnong",6,2016
"2052","Albert Park","h",4,2140000,"S","Greg",2016-06-27,3.3,"3206",2,1,183,145,1880,-37.8434,144.9495,"Southern Metropolitan",3280,"Port Phillip",6,2016
"2053","Albion","h",2,541000,"S","Barry",2016-06-27,13.9,"3020",1,1,497,96,1950,-37.7806,144.8159,"Western Metropolitan",2185,"Brimbank",6,2016
"2054","Alphington","h",3,1165000,"S","Barry",2016-06-27,6.4,"3078",1,2,979,130,1950,-37.7792,145.029,"Northern Metropolitan",2211,"Yarra",6,2016
"2055","Altona","h",3,753000,"S","Barlow",2016-06-27,13.8,"3018",2,2,529,130,1964,-37.8612,144.8247,"Western Metropolitan",5301,"Hobsons Bay",6,2016
"2056","Altona North","t",4,847500,"S","RT",2016-06-27,11.1,"3025",3,1,252,188.5,1987,-37.8393,144.8568,"Western Metropolitan",5132,"Hobsons Bay",6,2016
"2057","Altona North","h",4,760000,"S","Other",2016-06-27,11.1,"3025",1,3,668,190,1965,-37.8262,144.8439,"Western Metropolitan",5132,"Hobsons Bay",6,2016
"2058","Armadale","u",2,520000,"S","hockingstuart",2016-06-27,6.3,"3143",1,1,0,76,1970,-37.8618,145.0183,"Southern Metropolitan",4836,"Stonnington",6,2016
"2059","Ascot Vale","u",3,487500,"S","Hodges",2016-06-27,5.9,"3032",1,3,0,114.5,1972,-37.7723,144.9094,"Western Metropolitan",6567,"Moonee Valley",6,2016
"2060","Ascot Vale","h",2,760000,"PI","Nelson",2016-06-27,5.9,"3032",1,1,124,77,1900,-37.7807,144.9285,"Western Metropolitan",6567,"Moonee Valley",6,2016
"2061","Ascot Vale","h",2,705000,"PI","Nelson",2016-06-27,5.9,"3032",1,3,252,108,1910,-37.7825,144.9206,"Western Metropolitan",6567,"Moonee Valley",6,2016
"2062","Ashburton","h",2,1440000,"PI","Jellis",2016-06-27,11,"3147",1,1,687,104,1940,-37.872,145.0692,"Southern Metropolitan",3052,"Boroondara",6,2016
"2063","Ashburton","h",3,1415000,"S","Buxton",2016-06-27,11,"3147",1,1,605,111,1950,-37.8703,145.0774,"Southern Metropolitan",3052,"Boroondara",6,2016
"2064","Balaclava","h",3,1080000,"S","Buxton",2016-06-27,6.6,"3183",1,1,157,130,1928,-37.8696,144.9925,"Southern Metropolitan",2952,"Port Phillip",6,2016
"2065","Balaclava","u",2,540000,"VB","McGrath",2016-06-27,6.6,"3183",1,1,483,51,1970,-37.8727,144.9969,"Southern Metropolitan",2952,"Port Phillip",6,2016
"2066","Balwyn","h",4,2e+06,"PI","hockingstuart",2016-06-27,9.7,"3103",1,2,739,291,1930,-37.8039,145.0631,"Southern Metropolitan",5682,"Boroondara",6,2016
"2067","Balwyn North","h",5,1875000,"PI","Fletchers",2016-06-27,9.2,"3104",3,2,842,200,1961,-37.7854,145.0869,"Southern Metropolitan",7809,"Boroondara",6,2016
"2068","Balwyn North","h",4,1700000,"VB","Jellis",2016-06-27,9.2,"3104",2,5,754,175,1960,-37.786,145.0886,"Southern Metropolitan",7809,"Boroondara",6,2016
"2069","Balwyn North","h",4,1530000,"PI","hockingstuart",2016-06-27,9.2,"3104",2,2,701,198,1960,-37.7839,145.0954,"Southern Metropolitan",7809,"Boroondara",6,2016
"2070","Bentleigh East","u",2,772500,"S","Other",2016-06-27,13.9,"3165",1,2,318,76,1996,-37.9218,145.0563,"Southern Metropolitan",10969,"Glen Eira",6,2016
"2071","Bentleigh East","h",3,801000,"S","Buxton",2016-06-27,13.9,"3165",1,1,0,130,1960,-37.9218,145.053,"Southern Metropolitan",10969,"Glen Eira",6,2016
"2072","Bentleigh East","u",2,715000,"S","hockingstuart",2016-06-27,13.9,"3165",1,1,194,114,1995,-37.9107,145.0598,"Southern Metropolitan",10969,"Glen Eira",6,2016
"2073","Bentleigh East","h",2,1180000,"S","Buxton",2016-06-27,13.9,"3165",1,1,687,96,1960,-37.9234,145.0616,"Southern Metropolitan",10969,"Glen Eira",6,2016
"2074","Bentleigh East","t",3,882000,"S","Ray",2016-06-27,13.9,"3165",2,2,208,135,2008,-37.9108,145.0794,"Southern Metropolitan",10969,"Glen Eira",6,2016
"2075","Bentleigh East","h",3,1001000,"S","Gary",2016-06-27,13.9,"3165",1,1,598,130,1960,-37.9216,145.073,"Southern Metropolitan",10969,"Glen Eira",6,2016
"2076","Braybrook","h",3,495000,"S","Burnham",2016-06-27,10.8,"3019",1,1,158,138,2005,-37.7889,144.8465,"Western Metropolitan",3589,"Maribyrnong",6,2016
"2077","Brunswick","h",4,1875000,"S","Jellis",2016-06-27,5.2,"3056",2,2,657,207,1958,-37.7725,144.964,"Northern Metropolitan",11918,"Moreland",6,2016
"2078","Brunswick","t",3,640000,"PI","Walshe",2016-06-27,5.2,"3056",2,1,110,118,2000,-37.7776,144.9691,"Northern Metropolitan",11918,"Moreland",6,2016
"2079","Brunswick","t",3,705000,"PI","Nelson",2016-06-27,5.2,"3056",1,1,55,111,2012,-37.7611,144.9622,"Northern Metropolitan",11918,"Moreland",6,2016
"2080","Brunswick","h",4,820000,"VB","Nelson",2016-06-27,5.2,"3056",1,0,416,190,1910,-37.763,144.9598,"Northern Metropolitan",11918,"Moreland",6,2016
"2081","Brunswick","h",4,1790000,"S","Ray",2016-06-27,5.2,"3056",1,1,416,129,1920,-37.7737,144.965,"Northern Metropolitan",11918,"Moreland",6,2016
"2082","Brunswick East","h",2,970000,"S","Nelson",2016-06-27,4.5,"3057",1,1,213,96,1920,-37.7689,144.9788,"Northern Metropolitan",5533,"Moreland",6,2016
