"","Suburb","Rooms","Price","Method","SellerG","Date","Distance","Postcode","Bathroom","Car","Landsize","BuildingArea","YearBuilt","Lattitude","Longtitude","Regionname","Propertycount","Walk.Score","Population","CouncilArea","Month","Year"
"2767","Maidstone",4,765000,"SP","Biggin",2016-09-24,9.2,"3012",1,2,672,190,1955,-37.7824,144.8704,"Western Metropolitan",3873,62,"7,768","Maribyrnong",9,2016
"2768","Malvern",4,1617000,"S","Other",2016-09-24,7.4,"3144",1,0,337,190,1915,-37.8575,145.0392,"Southern Metropolitan",4675,80,"9,494","Stonnington",9,2016
"2769","Malvern East",3,1230000,"S","Buxton",2016-09-24,11.2,"3145",2,2,822,130,1930,-37.8787,145.0807,"Southern Metropolitan",8801,77,"20,028","Stonnington",9,2016
"2770","Malvern East",3,1100000,"PI","Thomson",2016-09-24,11.2,"3145",1,2,645,126,1960,-37.875,145.0861,"Southern Metropolitan",8801,77,"20,028","Stonnington",9,2016
"2771","Maribyrnong",4,1215000,"S","Raine",2016-09-24,8.7,"3032",3,4,613,142,1950,-37.7799,144.8879,"Western Metropolitan",4918,70,"10,135","Maribyrnong",9,2016
"2772","Moonee Ponds",3,1725000,"PI","Nelson",2016-09-24,6.9,"3039",2,3,596,203,1950,-37.7609,144.905,"Western Metropolitan",6232,75,"13,507","Moonee Valley",9,2016
"2773","Murrumbeena",2,861500,"S","hockingstuart",2016-09-24,12.1,"3163",2,1,293,125,2004,-37.9033,145.0727,"Southern Metropolitan",4442,71,"8,573","Glen Eira",9,2016
"2774","Murrumbeena",4,1670000,"S","Woodards",2016-09-24,12.1,"3163",2,1,690,190,1950,-37.8885,145.0726,"Southern Metropolitan",4442,71,"8,573","Glen Eira",9,2016
"2775","Newport",2,793000,"S","Other",2016-09-24,8.4,"3015",1,1,144,140,1995,-37.845,144.8873,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",9,2016
"2776","Newport",3,910000,"S","Greg",2016-09-24,8.4,"3015",1,2,531,130,1940,-37.8409,144.8663,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",9,2016
"2777","Newport",2,896000,"S","RT",2016-09-24,8.4,"3015",1,0,297,95,1900,-37.8501,144.8931,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",9,2016
"2778","Newport",3,988000,"SP","Jas",2016-09-24,8.4,"3015",1,1,450,130,1940,-37.84,144.887,"Western Metropolitan",5498,70,"12,028","Hobsons Bay",9,2016
"2779","North Melbourne",2,1200000,"SP","Jellis",2016-09-24,2.3,"3051",2,1,146,96,1910,-37.7959,144.9464,"Northern Metropolitan",6821,87,"11,733","Melbourne",9,2016
"2780","Northcote",2,1211000,"S","Jellis",2016-09-24,5.5,"3070",1,1,178,100,1900,-37.777,144.9922,"Northern Metropolitan",11364,82,"22,914","Darebin",9,2016
"2781","Northcote",4,2004000,"S","Jellis",2016-09-24,5.5,"3070",2,1,569,190,1920,-37.772,145.0039,"Northern Metropolitan",11364,82,"22,914","Darebin",9,2016
"2782","Northcote",4,1830000,"S","McGrath",2016-09-24,5.5,"3070",1,1,654,190,1920,-37.7756,145.0082,"Northern Metropolitan",11364,82,"22,914","Darebin",9,2016
"2783","Northcote",5,4300000,"SP","McGrath",2016-09-24,5.5,"3070",4,3,569,260,1910,-37.7763,144.9964,"Northern Metropolitan",11364,82,"22,914","Darebin",9,2016
"2784","Northcote",3,1090000,"SP","Miles",2016-09-24,5.5,"3070",1,2,318,130,1920,-37.7733,145.0078,"Northern Metropolitan",11364,82,"22,914","Darebin",9,2016
"2785","Northcote",3,1e+06,"VB","Nelson",2016-09-24,5.5,"3070",1,1,440,131,1930,-37.7663,145.0118,"Northern Metropolitan",11364,82,"22,914","Darebin",9,2016
"2786","Northcote",3,1400000,"S","Collins",2016-09-24,5.5,"3070",1,1,335,130,1920,-37.7816,145.0141,"Northern Metropolitan",11364,82,"22,914","Darebin",9,2016
"2787","Ormond",2,1668000,"S","Buxton",2016-09-24,11.8,"3204",1,2,595,96,1940,-37.9092,145.0507,"Southern Metropolitan",3578,72,"7,707","Glen Eira",9,2016
"2788","Parkville",4,1928000,"S","Jellis",2016-09-24,2.6,"3052",1,0,194,186,1890,-37.7944,144.9542,"Northern Metropolitan",2309,79,"6,193","Melbourne",9,2016
"2789","Pascoe Vale",3,792000,"S","Nelson",2016-09-24,9.9,"3044",1,2,582,130,1960,-37.724,144.9333,"Northern Metropolitan",7485,59,"14,871","Moreland",9,2016
"2790","Pascoe Vale",3,616000,"S","Nelson",2016-09-24,9.9,"3044",1,1,190,108,1970,-37.7211,144.9508,"Northern Metropolitan",7485,59,"14,871","Moreland",9,2016
"2791","Port Melbourne",2,790000,"PI","Marshall",2016-09-24,3.8,"3207",1,1,108,96,1905,-37.8329,144.9463,"Southern Metropolitan",8648,84,"14,520","Melbourne",9,2016
"2792","Port Melbourne",2,1010000,"S","Woodards",2016-09-24,3.8,"3207",1,1,139,96,1960,-37.8342,144.9393,"Southern Metropolitan",8648,84,"14,520","Port Phillip",9,2016
"2793","Preston",2,890000,"S","Nelson",2016-09-24,8.8,"3072",1,3,493,95,1950,-37.74,144.9821,"Northern Metropolitan",14577,73,"29,893","Darebin",9,2016
"2794","Preston",3,1050000,"S","Nelson",2016-09-24,8.8,"3072",2,1,453,130,1948,-37.7388,144.9844,"Northern Metropolitan",14577,73,"29,893","Darebin",9,2016
"2795","Preston",3,1040000,"SP","Jellis",2016-09-24,8.8,"3072",2,1,313,130,1950,-37.7531,145.01,"Northern Metropolitan",14577,73,"29,893","Darebin",9,2016
"2796","Reservoir",2,840000,"SP","Nelson",2016-09-24,11.2,"3073",1,1,714,96,1960,-37.726,144.9858,"Northern Metropolitan",21650,60,"47,517","Darebin",9,2016
"2797","Reservoir",4,801000,"S","Ray",2016-09-24,11.2,"3073",1,2,771,190,1965,-37.705,145.0035,"Northern Metropolitan",21650,60,"47,517","Darebin",9,2016
"2798","Reservoir",3,785000,"S","Love",2016-09-24,11.2,"3073",1,1,719,130,1960,-37.709,145.0015,"Northern Metropolitan",21650,60,"47,517","Darebin",9,2016
"2799","Reservoir",3,7e+05,"S","Nelson",2016-09-24,11.2,"3073",1,1,621,130,1950,-37.7195,145.0074,"Northern Metropolitan",21650,60,"47,517","Darebin",9,2016
"2800","Reservoir",5,925000,"S","Nelson",2016-09-24,11.2,"3073",3,4,922,260,1960,-37.6961,144.9865,"Northern Metropolitan",21650,60,"47,517","Darebin",9,2016
"2801","Reservoir",3,866000,"S","Nelson",2016-09-24,11.2,"3073",1,2,569,130,1960,-37.7313,145.0224,"Northern Metropolitan",21650,60,"47,517","Darebin",9,2016
"2802","Richmond",3,1320000,"S","RT",2016-09-24,2.6,"3121",2,2,171,118,1890,-37.8166,144.9987,"Northern Metropolitan",14949,90,"23,838","Yarra",9,2016
"2803","Richmond",3,1651000,"S","Jellis",2016-09-24,2.6,"3121",2,1,192,111,1900,-37.8212,144.9985,"Northern Metropolitan",14949,90,"23,838","Yarra",9,2016
"2804","Richmond",3,1600000,"S","Biggin",2016-09-24,2.6,"3121",2,2,80,144,1850,-37.8233,144.9947,"Northern Metropolitan",14949,90,"23,838","Yarra",9,2016
"2805","Richmond",3,915000,"S","hockingstuart",2016-09-24,2.6,"3121",3,1,140,130,1900,-37.8148,144.9912,"Northern Metropolitan",14949,90,"23,838","Yarra",9,2016
"2806","Richmond",3,1032000,"S","Biggin",2016-09-24,2.6,"3121",1,0,128,130,1900,-37.8198,145.0026,"Northern Metropolitan",14949,90,"23,838","Yarra",9,2016
"2807","Richmond",3,1075000,"S","Jellis",2016-09-24,2.6,"3121",1,0,148,130,1900,-37.8194,145.0024,"Northern Metropolitan",14949,90,"23,838","Yarra",9,2016
"2808","Richmond",4,1800000,"PI","Biggin",2016-09-24,2.6,"3121",2,0,288,193,1900,-37.8268,145.0129,"Northern Metropolitan",14949,90,"23,838","Yarra",9,2016
"2809","Rosanna",3,515000,"S","Ray",2016-09-24,11.4,"3084",2,1,606,99,1955,-37.7347,145.0783,"Eastern Metropolitan",3540,62,"7,892","Banyule",9,2016
"2810","South Kingsville",2,392250,"SP","Other",2016-09-24,9.1,"3015",1,2,462,96,1970,-37.8331,144.8715,"Western Metropolitan",984,59,"1,829","Hobsons Bay",9,2016
"2811","South Melbourne",3,2300000,"S","RT",2016-09-24,2.1,"3205",2,2,0,260,1877,-37.8352,144.952,"Southern Metropolitan",5943,92,"9,318","Port Phillip",9,2016
"2812","South Yarra",2,1100000,"VB","Fletchers",2016-09-24,3.3,"3141",1,0,176,81,1930,-37.8436,144.9925,"Southern Metropolitan",14887,92,"19,186","Stonnington",9,2016
"2813","South Yarra",3,1125000,"PI","Thomson",2016-09-24,3.3,"3141",1,0,146,89,1910,-37.8454,144.9888,"Southern Metropolitan",14887,92,"19,186","Stonnington",9,2016
"2814","St Kilda",2,1200500,"S","hockingstuart",2016-09-24,6.1,"3182",1,0,201,83,1915,-37.8654,144.9809,"Southern Metropolitan",13240,93,"17,802","Port Phillip",9,2016
"2815","Strathmore",3,1075000,"S","Nelson",2016-09-24,9.7,"3041",2,1,752,130,1970,-37.7303,144.9198,"Western Metropolitan",3284,69,"8,101","Moonee Valley",9,2016
"2816","Sunshine West",3,622500,"S","Douglas",2016-09-24,13.5,"3020",1,1,534,131,1970,-37.7887,144.8231,"Western Metropolitan",6763,49,"16,759","Brimbank",9,2016
"2817","Surrey Hills",3,1560000,"S","hockingstuart",2016-09-24,11.2,"3127",2,1,335,209,2013,-37.8165,145.0981,"Southern Metropolitan",5457,66,"13,143","Boroondara",9,2016
"2818","Templestowe Lower",3,1002000,"S","Barry",2016-09-24,13.8,"3107",1,2,799,174,1960,-37.7698,145.1028,"Eastern Metropolitan",5420,49,"13,206","Manningham",9,2016
"2819","Templestowe Lower",3,1053000,"S","Ray",2016-09-24,13.8,"3107",1,1,726,130,1960,-37.7656,145.1017,"Eastern Metropolitan",5420,49,"13,206","Manningham",9,2016
"2820","Thornbury",2,925000,"S","Other",2016-09-24,6.5,"3071",1,1,258,157,1930,-37.7584,144.9971,"Northern Metropolitan",8870,77,"17,473","Darebin",9,2016
"2821","Thornbury",3,1250000,"VB","Nelson",2016-09-24,6.5,"3071",2,3,297,234,2013,-37.7617,145.0117,"Northern Metropolitan",8870,77,"17,473","Darebin",9,2016
"2822","Watsonia",3,627500,"S","Barry",2016-09-24,14.9,"3087",1,1,319,96,2000,-37.7165,145.0759,"Northern Metropolitan",2329,69,"5,146","Banyule",9,2016
"2823","Watsonia",3,702000,"S","Buckingham",2016-09-24,14.9,"3087",1,1,604,97,1970,-37.7115,145.088,"Northern Metropolitan",2329,69,"5,146","Banyule",9,2016
"2824","Watsonia",3,860500,"S","Barry",2016-09-24,14.9,"3087",2,0,767,147,1960,-37.7084,145.0788,"Northern Metropolitan",2329,69,"5,146","Banyule",9,2016
"2825","West Footscray",2,790000,"S","Village",2016-09-24,8.2,"3012",1,1,259,96,1950,-37.8058,144.875,"Western Metropolitan",5058,64,"10,215","Maribyrnong",9,2016
"2826","West Footscray",3,9e+05,"S","Jas",2016-09-24,8.2,"3012",2,3,446,130,2006,-37.7923,144.8814,"Western Metropolitan",5058,64,"10,215","Maribyrnong",9,2016
"2827","West Footscray",2,770000,"S","Village",2016-09-24,8.2,"3012",1,1,267,95,1940,-37.8021,144.8629,"Western Metropolitan",5058,64,"10,215","Maribyrnong",9,2016
"2828","Williamstown",3,1310000,"S","Sweeney",2016-09-24,8,"3016",2,1,185,139,1900,-37.8664,144.9072,"Western Metropolitan",6380,71,"13,183","Hobsons Bay",9,2016
"2829","Yallambie",3,720000,"S","Buckingham",2016-09-24,15,"Other",2,4,535,130,1978,-37.7225,145.1037,"Northern Metropolitan",1369,48,"4,133","Banyule",9,2016
"2830","Yarraville",3,955000,"S","Village",2016-09-24,7,"3013",2,2,206,173,2006,-37.8127,144.8965,"Western Metropolitan",6543,77,"13,811","Maribyrnong",9,2016
"2831","Yarraville",3,725000,"S","Sweeney",2016-09-24,7,"3013",1,5,558,128,1940,-37.8119,144.868,"Western Metropolitan",6543,77,"13,811","Maribyrnong",9,2016
"2832","Yarraville",3,1081000,"SP","Village",2016-09-24,7,"3013",1,1,448,104,1940,-37.8171,144.8753,"Western Metropolitan",6543,77,"13,811","Maribyrnong",9,2016
"2833","Airport West",3,895000,"PI","Rendina",2016-10-09,13.5,"3042",1,6,1063,133,1975,-37.7249,144.8728,"Western Metropolitan",3464,58,"6,954","Moonee Valley",10,2016
"2834","Albert Park",3,1800000,"VB","Cayzer",2016-10-09,3.3,"3206",1,1,253,130,1900,-37.8443,144.9579,"Southern Metropolitan",3280,85,"5,989","Port Phillip",10,2016
"2835","Albert Park",3,1800000,"S","Marshall",2016-10-09,3.3,"3206",2,1,90,122,1900,-37.8421,144.9571,"Southern Metropolitan",3280,85,"5,989","Port Phillip",10,2016
"2836","Albert Park",2,2120000,"S","Greg",2016-10-09,3.3,"3206",1,1,199,107,1900,-37.8422,144.9554,"Southern Metropolitan",3280,85,"5,989","Port Phillip",10,2016
"2837","Albion",4,816000,"S","Bells",2016-10-09,13.9,"3020",1,2,837,156,1930,-37.7825,144.8221,"Western Metropolitan",2185,53,"4,322","Brimbank",10,2016
"2838","Altona",4,1070000,"S","Barlow",2016-10-09,13.8,"3018",2,2,695,190,1964,-37.8733,144.8147,"Western Metropolitan",5301,63,"9,916","Hobsons Bay",10,2016
"2839","Ascot Vale",2,770000,"PI","Nelson",2016-10-09,5.9,"3032",1,1,226,87,1900,-37.7774,144.9186,"Western Metropolitan",6567,75,"13,503","Moonee Valley",10,2016
"2840","Ashburton",3,1518000,"S","Jellis",2016-10-09,11,"3147",2,2,516,145,1920,-37.8675,145.0668,"Southern Metropolitan",3052,68,"7,577","Boroondara",10,2016
"2841","Ashburton",4,2215000,"SP","Marshall",2016-10-09,11,"3147",2,1,681,190,1940,-37.8612,145.0858,"Southern Metropolitan",3052,68,"7,577","Boroondara",10,2016
"2842","Balwyn",1,390000,"VB","Jellis",2016-10-09,9.7,"3103",1,1,740,69,1970,-37.8125,145.0775,"Southern Metropolitan",5682,72,"12,945","Boroondara",10,2016
"2843","Balwyn North",4,1740000,"VB","Jellis",2016-10-09,9.2,"3104",2,2,610,275,1993,-37.7843,145.0891,"Southern Metropolitan",7809,61,"20,345","Boroondara",10,2016
"2844","Balwyn North",4,1388800,"S","Jellis",2016-10-09,9.2,"3104",2,1,517,247,1970,-37.783,145.0926,"Southern Metropolitan",7809,61,"20,345","Boroondara",10,2016
"2845","Bentleigh",4,1328000,"S","hockingstuart",2016-10-09,13,"3204",2,2,610,112,1940,-37.9291,145.0472,"Southern Metropolitan",6795,75,"14,926","Glen Eira",10,2016
"2846","Bentleigh",3,1340000,"S","hockingstuart",2016-10-09,13,"3204",2,1,526,135,1910,-37.9279,145.031,"Southern Metropolitan",6795,75,"14,926","Glen Eira",10,2016
"2847","Bentleigh",3,1275000,"S","Buxton",2016-10-09,13,"3204",1,4,758,138,1960,-37.9267,145.043,"Southern Metropolitan",6795,75,"14,926","Glen Eira",10,2016
"2848","Bentleigh East",4,1415000,"S","Buxton",2016-10-09,13.9,"3165",2,2,604,177,1970,-37.9153,145.0707,"Southern Metropolitan",10969,59,"25,928","Glen Eira",10,2016
"2849","Bentleigh East",2,1010000,"S","hockingstuart",2016-10-09,13.9,"3165",1,1,597,96,1960,-37.9126,145.0776,"Southern Metropolitan",10969,59,"25,928","Glen Eira",10,2016
"2850","Bentleigh East",3,899000,"S","Buxton",2016-10-09,13.9,"3165",1,1,583,130,1960,-37.9312,145.0795,"Southern Metropolitan",10969,59,"25,928","Glen Eira",10,2016
"2851","Box Hill",4,1560000,"PI","Jellis",2016-10-09,13.1,"3128",2,3,729,167,1905,-37.8233,145.1267,"Eastern Metropolitan",4605,72,"9,706","Whitehorse",10,2016
"2852","Brighton",5,1562500,"PI","Buxton",2016-10-09,11.2,"3186",2,2,655,202,1925,-37.9264,145.0044,"Southern Metropolitan",10579,75,"21,267","Bayside",10,2016
"2853","Brighton",3,2400000,"S","Marshall",2016-10-09,11.2,"3186",2,2,835,130,1910,-37.9225,144.991,"Southern Metropolitan",10579,75,"21,267","Bayside",10,2016
"2854","Brighton",3,1650000,"S","Nick",2016-10-09,11.2,"3186",2,2,0,111,1980,-37.9174,144.9895,"Southern Metropolitan",10579,75,"21,267","Bayside",10,2016
"2855","Brighton East",4,2840000,"S","Hodges",2016-10-09,10.7,"3187",2,2,999,274,1972,-37.9135,145.0189,"Southern Metropolitan",6938,63,"15,807","Bayside",10,2016
"2856","Brighton East",3,1580000,"S","Marshall",2016-10-09,10.7,"3187",2,2,597,130,1950,-37.9085,145.0201,"Southern Metropolitan",6938,63,"15,807","Bayside",10,2016
"2857","Brighton East",2,1e+06,"PI","Biggin",2016-10-09,10.7,"3187",1,2,564,131,1948,-37.9143,145.0238,"Southern Metropolitan",6938,63,"15,807","Glen Eira",10,2016
"2858","Brunswick",2,1056000,"S","Nelson",2016-10-09,5.2,"3056",1,1,315,108,1910,-37.757,144.9697,"Northern Metropolitan",11918,84,"22,739","Moreland",10,2016
"2859","Brunswick",2,1100000,"S","Nelson",2016-10-09,5.2,"3056",1,0,153,96,1900,-37.7705,144.9647,"Northern Metropolitan",11918,84,"22,739","Moreland",10,2016
"2860","Brunswick East",4,1900000,"S","Jellis",2016-10-09,4.5,"3057",2,1,227,190,1920,-37.7776,144.9726,"Northern Metropolitan",5533,83,"8,502","Moreland",10,2016
"2861","Brunswick East",2,1080000,"S","Greg",2016-10-09,4.5,"3057",1,0,193,101,1890,-37.7765,144.9751,"Northern Metropolitan",5533,83,"8,502","Moreland",10,2016
"2862","Bulleen",4,1260000,"S","Barry",2016-10-09,11.8,"3105",2,2,730,190,1971,-37.7606,145.0932,"Eastern Metropolitan",4480,59,"10,848","Manningham",10,2016
"2863","Canterbury",3,928000,"S","Fletchers",2016-10-09,9,"3126",2,1,145,140,1998,-37.8233,145.0769,"Southern Metropolitan",3265,72,"7,856","Boroondara",10,2016
"2864","Carnegie",4,1830000,"S","Gary",2016-10-09,11.4,"3163",2,2,687,237,1983,-37.8931,145.0479,"Southern Metropolitan",7822,75,"16,333","Glen Eira",10,2016
"2865","Caulfield South",3,1314000,"S","Gary",2016-10-09,9.3,"3162",1,2,339,130,1930,-37.8906,145.0221,"Southern Metropolitan",5051,70,"11,292","Glen Eira",10,2016
"2866","Clifton Hill",2,1435000,"S","Nelson",2016-10-09,3.4,"3068",1,2,239,96,1900,-37.7918,144.997,"Northern Metropolitan",2954,85,"5,782","Yarra",10,2016
"2867","Clifton Hill",4,3010000,"S","Collins",2016-10-09,3.4,"3068",3,2,382,250,1903,-37.7897,144.9992,"Northern Metropolitan",2954,85,"5,782","Yarra",10,2016
"2868","Coburg",3,1210000,"S","Nelson",2016-10-09,7.8,"3058",1,1,379,125,1925,-37.7544,144.9764,"Northern Metropolitan",11204,71,"24,996","Moreland",10,2016
"2869","Coburg North",3,625000,"S","Nelson",2016-10-09,9.2,"3058",1,2,104,138,2014,-37.7307,144.9826,"Northern Metropolitan",3445,62,"6,574","Moreland",10,2016
"2870","Cremorne",3,1475000,"PI","Biggin",2016-10-09,2.5,"3121",2,2,324,165,1880,-37.8278,144.9885,"Northern Metropolitan",1123,89,"1,572","Yarra",10,2016
"2871","Eaglemont",5,1901000,"S","Nelson",2016-10-09,10.3,"3084",2,2,963,225,1925,-37.7674,145.0518,"Eastern Metropolitan",1651,64,"3,915","Banyule",10,2016
"2872","Essendon",4,1160000,"S","Nelson",2016-10-09,8,"3040",3,2,256,217,2015,-37.7527,144.8957,"Western Metropolitan",9264,71,"18,841","Moonee Valley",10,2016
"2873","Fitzroy North",3,1371000,"S","Nelson",2016-10-09,3.5,"3068",1,1,197,128,1900,-37.7835,144.9816,"Northern Metropolitan",6244,93,"11,451","Yarra",10,2016
"2874","Flemington",2,918000,"S","Nelson",2016-10-09,4.4,"3031",1,0,136,78,1900,-37.7839,144.9343,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",10,2016
"2875","Flemington",2,730000,"SP","Nelson",2016-10-09,4.4,"3031",1,1,140,98,1890,-37.7867,144.9342,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",10,2016
"2876","Flemington",2,950000,"SP","Nelson",2016-10-09,4.4,"3031",1,1,193,96,1905,-37.7861,144.9238,"Northern Metropolitan",3593,76,"7,512","Moonee Valley",10,2016
"2877","Other",3,1330000,"S","Woodards",2016-10-09,10.4,"3163",2,1,295,176,1930,-37.8904,145.0387,"Southern Metropolitan",2403,76,"4,672","Glen Eira",10,2016
"2878","Glen Iris",2,845000,"S","Noel",2016-10-09,9.2,"3146",0,0,207,96,1940,-37.863,145.0501,"Southern Metropolitan",10412,65,"24,992","Stonnington",10,2016
"2879","Glen Iris",3,1660000,"S","Other",2016-10-09,9.2,"3146",1,2,297,130,1930,-37.847,145.0535,"Southern Metropolitan",10412,65,"24,992","Boroondara",10,2016
"2880","Glen Iris",6,2250000,"VB","Gary",2016-10-09,9.2,"3146",3,2,650,285.5,1940,-37.8534,145.0785,"Southern Metropolitan",10412,65,"24,992","Boroondara",10,2016
"2881","Glen Iris",3,1510000,"PI","hockingstuart",2016-10-09,9.2,"3146",2,2,370,130,1940,-37.8597,145.0883,"Southern Metropolitan",10412,65,"24,992","Boroondara",10,2016
"2882","Glenroy",3,5e+05,"S","Nelson",2016-10-09,13,"3046",1,1,589,130,1960,-37.6993,144.9393,"Northern Metropolitan",8870,54,"19,671","Moreland",10,2016
"2883","Glenroy",3,691000,"S","Stockdale",2016-10-09,13,"3046",1,2,753,130,1960,-37.7065,144.9374,"Northern Metropolitan",8870,54,"19,671","Moreland",10,2016
"2884","Hadfield",4,600500,"S","YPA",2016-10-09,12.1,"3046",2,1,462,161,1970,-37.7062,144.9387,"Northern Metropolitan",2606,51,"5,355","Moreland",10,2016
"2885","Hadfield",4,7e+05,"S","Barry",2016-10-09,12.1,"3046",2,2,700,168,1950,-37.7056,144.9384,"Northern Metropolitan",2606,51,"5,355","Moreland",10,2016
"2886","Hampton",4,2880000,"S","Marshall",2016-10-09,13.7,"3188",3,2,687,190,1950,-37.9312,144.9997,"Southern Metropolitan",5454,69,"12,459","Bayside",10,2016
"2887","Hampton",4,2420000,"S","RT",2016-10-09,13.7,"3188",3,2,560,190,1950,-37.9333,144.9977,"Southern Metropolitan",5454,69,"12,459","Bayside",10,2016
"2888","Hampton",4,1250000,"PI","Hodges",2016-10-09,13.7,"3188",3,2,398,220,2014,-37.9381,145.0161,"Southern Metropolitan",5454,69,"12,459","Bayside",10,2016
"2889","Hampton",5,1805000,"S","Buxton",2016-10-09,13.7,"3188",2,2,700,224,1950,-37.9419,145.0156,"Southern Metropolitan",5454,69,"12,459","Bayside",10,2016
"2890","Hampton",4,2e+06,"PI","hockingstuart",2016-10-09,13.7,"3188",3,4,615,248,1925,-37.9429,145.0072,"Southern Metropolitan",5454,69,"12,459","Bayside",10,2016
"2891","Hawthorn",3,2325000,"S","Jellis",2016-10-09,4.6,"3122",2,1,373,130,1910,-37.8281,145.0391,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"2892","Hawthorn",3,1741000,"S","Marshall",2016-10-09,4.6,"3122",1,1,383,109,1910,-37.8155,145.0385,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"2893","Hawthorn",4,2610000,"S","Marshall",2016-10-09,4.6,"3122",2,7,0,190,1910,-37.8187,145.0272,"Southern Metropolitan",11308,85,"21,138","Boroondara",10,2016
"2894","Hawthorn East",4,3100000,"S","Kay",2016-10-09,7.5,"3123",2,2,640,232,1907,-37.826,145.0498,"Southern Metropolitan",6482,83,"13,113","Boroondara",10,2016
"2895","Hawthorn East",3,1700000,"VB","Jellis",2016-10-09,7.5,"3123",2,1,646,228,1980,-37.8337,145.0469,"Southern Metropolitan",6482,83,"13,113","Boroondara",10,2016
"2896","Heidelberg",3,1705000,"S","Barry",2016-10-09,10.6,"3084",1,2,1547,130,1954,-37.7502,145.0706,"Eastern Metropolitan",2890,64,"5,733","Banyule",10,2016
"2897","Heidelberg Heights",4,758500,"S","hockingstuart",2016-10-09,10.5,"3081",2,3,510,190,1952,-37.7427,145.0547,"Eastern Metropolitan",2947,64,"6,410","Banyule",10,2016
"2898","Hughesdale",4,2120000,"S","Woodards",2016-10-09,13,"3166",2,2,847,315,1925,-37.8927,145.0781,"Southern Metropolitan",3145,74,"7,062","Monash",10,2016
"2899","Ivanhoe",3,1796000,"S","Miles",2016-10-09,7.9,"3079",1,1,614,130,1950,-37.7768,145.0409,"Eastern Metropolitan",5549,71,"11,038","Banyule",10,2016
"2900","Ivanhoe",2,1020000,"S","Buckingham",2016-10-09,7.9,"3079",1,1,557,78,1955,-37.7568,145.0355,"Eastern Metropolitan",5549,71,"11,038","Banyule",10,2016
"2901","Ivanhoe",3,1465000,"S","Other",2016-10-09,7.9,"3079",1,2,630,126,1960,-37.7635,145.039,"Eastern Metropolitan",5549,71,"11,038","Banyule",10,2016
"2902","Ivanhoe",2,790000,"S","Haughton",2016-10-09,7.9,"3079",1,1,221,96,1950,-37.7654,145.036,"Eastern Metropolitan",5549,71,"11,038","Banyule",10,2016
"2903","Other",4,570000,"S","YPA",2016-10-09,15,"3021",2,2,558,190,1980,-37.7369,144.8252,"Western Metropolitan",1202,43,"3,173","Brimbank",10,2016
"2904","Keilor East",3,583000,"S","Alexkarbon",2016-10-09,12.8,"3033",1,1,412,133,2003,-37.7459,144.8643,"Western Metropolitan",5629,55,"13,234","Moonee Valley",10,2016
"2905","Keilor East",4,920000,"S","Rendina",2016-10-09,12.8,"3033",2,2,603,190,1975,-37.7323,144.8683,"Western Metropolitan",5629,55,"13,234","Moonee Valley",10,2016
"2906","Kensington",3,1165000,"S","Nelson",2016-10-09,4.2,"3031",1,0,239,135,1910,-37.7923,144.9324,"Northern Metropolitan",5263,82,"9,689","Melbourne",10,2016
"2907","Kensington",5,1710000,"PI","Nelson",2016-10-09,4.2,"3031",2,2,566,270,1890,-37.7893,144.933,"Northern Metropolitan",5263,82,"9,689","Melbourne",10,2016
"2908","Kew",5,2850000,"S","RT",2016-10-09,5.6,"3101",2,2,815,260,1940,-37.8118,145.035,"Southern Metropolitan",10331,71,"23,871","Boroondara",10,2016
"2909","Kew",3,1875000,"S","Noel",2016-10-09,5.6,"3101",2,2,426,130,1940,-37.8012,145.0514,"Southern Metropolitan",10331,71,"23,871","Boroondara",10,2016
"2910","Kew",4,2550000,"S","Jellis",2016-10-09,5.6,"3101",2,2,603,220,1930,-37.8095,145.0391,"Southern Metropolitan",10331,71,"23,871","Boroondara",10,2016
"2911","Maidstone",4,1048000,"S","Burnham",2016-10-09,9.2,"3012",2,1,647,190,1920,-37.79,144.8815,"Western Metropolitan",3873,62,"7,768","Maribyrnong",10,2016
"2912","Malvern East",5,1810000,"PI","RT",2016-10-09,11.2,"3145",3,2,751,260,1934,-37.8775,145.0622,"Southern Metropolitan",8801,77,"20,028","Stonnington",10,2016
"2913","Maribyrnong",5,1150000,"SP","Biggin",2016-10-09,8.7,"3032",3,2,446,286,2002,-37.7712,144.8763,"Western Metropolitan",4918,70,"10,135","Maribyrnong",10,2016
"2914","Maribyrnong",3,680000,"SP","Biggin",2016-10-09,8.7,"3032",2,2,225,130,2000,-37.7699,144.8791,"Western Metropolitan",4918,70,"10,135","Maribyrnong",10,2016
"2915","Maribyrnong",3,920000,"SP","Biggin",2016-10-09,8.7,"3032",1,2,689,110,1920,-37.7823,144.887,"Western Metropolitan",4918,70,"10,135","Maribyrnong",10,2016
"2916","Maribyrnong",5,930000,"VB","Nelson",2016-10-09,8.7,"3032",2,2,330,260,2000,-37.7859,144.8898,"Western Metropolitan",4918,70,"10,135","Maribyrnong",10,2016
